date,dji,djit
02JAN1957,496.03,
03JAN1957,499.2,
04JAN1957,498.22,
07JAN1957,495.2,
08JAN1957,493.86,
09JAN1957,493.21,
10JAN1957,495.51,
11JAN1957,493.81,
14JAN1957,489.29,
15JAN1957,484.75,
16JAN1957,485.05,
17JAN1957,484.01,
18JAN1957,477.46,
21JAN1957,475.9,
22JAN1957,477.49,
23JAN1957,479.93,
24JAN1957,481.3,
25JAN1957,478.34,
28JAN1957,474.59,
29JAN1957,476.92,
30JAN1957,480.53,
31JAN1957,479.16,
01FEB1957,477.22,
04FEB1957,477.19,
05FEB1957,469.96,
06FEB1957,470.81,
07FEB1957,468.71,
08FEB1957,466.29,
11FEB1957,457.44,
12FEB1957,454.82,
13FEB1957,462.14,
14FEB1957,461.56,
15FEB1957,468.07,
18FEB1957,467.4,
19FEB1957,466.84,
20FEB1957,469,
21FEB1957,466.93,
25FEB1957,466.9,
26FEB1957,467.72,
27FEB1957,466.26,
28FEB1957,464.62,
01MAR1957,468.91,
04MAR1957,471.48,
05MAR1957,472.88,
06MAR1957,474.87,
07MAR1957,474.17,
08MAR1957,471.63,
11MAR1957,469.5,
12MAR1957,470.31,
13MAR1957,472.53,
14MAR1957,473.93,
15MAR1957,474.28,
18MAR1957,472.3,
19MAR1957,473.93,
20MAR1957,473.93,
21MAR1957,474.02,
22MAR1957,472.94,
25MAR1957,471.51,
26MAR1957,472.24,
27MAR1957,473.12,
28MAR1957,475.01,
29MAR1957,474.81,
01APR1957,474.98,
02APR1957,477.55,
03APR1957,478.31,
04APR1957,477.43,
05APR1957,477.61,
08APR1957,479.04,
09APR1957,482.66,
10APR1957,485.17,
11APR1957,484.7,
12APR1957,486.72,
15APR1957,485.84,
16APR1957,484.32,
17APR1957,485.02,
18APR1957,488.03,
22APR1957,488.79,
23APR1957,491.88,
24APR1957,493.66,
25APR1957,492.29,
26APR1957,491.5,
29APR1957,493.95,
30APR1957,494.36,
01MAY1957,495.76,
02MAY1957,498.56,
03MAY1957,497.54,
06MAY1957,496.32,
07MAY1957,494.68,
08MAY1957,496.73,
09MAY1957,496.76,
10MAY1957,498.3,
13MAY1957,502.21,
14MAY1957,500.46,
15MAY1957,501.98,
16MAY1957,504.84,
17MAY1957,505.6,
20MAY1957,505.98,
21MAY1957,506.04,
22MAY1957,504.43,
23MAY1957,504.02,
24MAY1957,504.02,
27MAY1957,499.21,
28MAY1957,497.72,
29MAY1957,502.18,
31MAY1957,504.93,
03JUN1957,503.76,
04JUN1957,502.97,
05JUN1957,502.07,
06JUN1957,504.55,
07JUN1957,505.63,
